15 seconds no increase

  G34: Score 0.0 | P(Delta >= 5) = 0.688 | continue
  G35: Score 0.5 | P(Delta >= 5) = 0.680 | continue
  G36: Score 0.0 | P(Delta >= 5) = 0.621 | continue
  G37: Score 1.0 | P(Delta >= 5) = 0.692 | continue
  G38: Score 0.5 | P(Delta >= 5) = 0.673 | continue
  G39: Score 0.5 | P(Delta >= 5) = 0.678 | continue
  G40: Score 0.0 | P(Delta >= 5) = 0.593 | continue
  G41: Score 1.0 | P(Delta >= 5) = 0.664 | continue
  G42: Score 0.0 | P(Delta >= 5) = 0.596 | continue
  G43: Score 1.0 | P(Delta >= 5) = 0.667 | continue
  G44: Score 0.0 | P(Delta >= 5) = 0.607 | continue
  G45: Score 0.5 | P(Delta >= 5) = 0.597 | continue
  G46: Score 0.0 | P(Delta >= 5) = 0.516 | continue
  G47: Score 1.0 | P(Delta >= 5) = 0.588 | continue
  G48: Score 0.5 | P(Delta >= 5) = 0.580 | continue
  G49: Score 1.0 | P(Delta >= 5) = 0.647 | continue
  G50: Score 0.0 | P(Delta >= 5) = 0.564 | reject_H0

--- ITERATION 17: Tuning NMP_intercept (4.20 -> 9.67) ---
  G1: Score 0.5 | P(Delta >= 5) = 0.495 | continue
  G2: Score 1.0 | P(Delta >= 5) = 0.822 | continue
  G3: Score 0.5 | P(Delta >= 5) = 0.824 | continue
  G4: Score 0.0 | P(Delta >= 5) = 0.489 | continue
  G5: Score 1.0 | P(Delta >= 5) = 0.678 | continue
  G6: Score 1.0 | P(Delta >= 5) = 0.823 | continue
  G7: Score 0.5 | P(Delta >= 5) = 0.786 | continue
  G8: Score 0.0 | P(Delta >= 5) = 0.672 | continue
  G9: Score 0.5 | P(Delta >= 5) = 0.631 | continue
  G10: Score 0.0 | P(Delta >= 5) = 0.477 | continue
  G11: Score 1.0 | P(Delta >= 5) = 0.628 | continue
  G12: Score 0.0 | P(Delta >= 5) = 0.470 | continue
  G13: Score 1.0 | P(Delta >= 5) = 0.605 | continue
  G14: Score 0.0 | P(Delta >= 5) = 0.471 | continue
  G15: Score 1.0 | P(Delta >= 5) = 0.592 | continue
  G16: Score 0.5 | P(Delta >= 5) = 0.585 | continue
  G17: Score 1.0 | P(Delta >= 5) = 0.698 | continue
  G18: Score 1.0 | P(Delta >= 5) = 0.757 | continue
  G19: Score 1.0 | P(Delta >= 5) = 0.843 | continue
  G20: Score 0.0 | P(Delta >= 5) = 0.750 | continue
  G21: Score 0.5 | P(Delta >= 5) = 0.765 | continue
  G22: Score 0.0 | P(Delta >= 5) = 0.653 | continue
  G23: Score 1.0 | P(Delta >= 5) = 0.727 | continue
  G24: Score 0.0 | P(Delta >= 5) = 0.642 | continue
  G25: Score 0.5 | P(Delta >= 5) = 0.628 | continue
  G26: Score 0.0 | P(Delta >= 5) = 0.557 | continue
